Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,5.342996,5.470032,5.260796,5.440141,2.788715,6774506
2003-01-03,5.447614,5.612014,5.447614,5.567178,2.853837,5766574
2003-01-06,5.589596,5.791359,5.559705,5.716632,2.930450,7918400
2003-01-07,5.776414,5.836196,5.679268,5.739050,2.941942,7438789
2003-01-08,5.679268,5.686741,5.477505,5.492450,2.815530,5619907
2003-01-09,5.589596,5.791359,5.582123,5.791359,2.968757,5988180
2003-01-10,5.798832,6.067850,5.649378,5.978177,3.064523,12429073
2003-01-13,6.299504,6.329395,6.135105,6.202359,3.179442,8989496
2003-01-14,6.239723,6.247195,6.090268,6.179941,3.167951,6153849
2003-01-15,6.202359,6.426541,6.067850,6.396650,3.279040,8745140
2003-01-16,6.262141,6.404122,6.023014,6.052905,3.102830,7566587
2003-01-17,5.903450,5.903450,5.649378,5.671796,2.907466,8409386
2003-01-21,5.739050,5.873559,5.626959,5.641905,2.892144,4390904
2003-01-22,5.567178,5.776414,5.514869,5.679268,2.911296,4535697
2003-01-23,6.015541,6.135105,5.940814,6.127632,3.141136,8294301
2003-01-24,6.127632,6.127632,5.739050,5.783887,2.964927,3681256
2003-01-27,5.649378,5.791359,5.582123,5.597069,2.869160,7480809
2003-01-28,5.380360,5.978177,5.260796,5.342996,2.738917,15055425
2003-01-29,5.268269,5.402778,5.156178,5.380360,2.758071,10043061
2003-01-30,5.440141,5.440141,5.088923,5.118814,2.623997,5942681
2003-01-31,5.006724,5.096396,4.931996,5.006724,2.566539,7499677
2003-02-03,5.014196,5.215960,5.014196,5.141233,2.635490,4204492
2003-02-04,5.148705,5.148705,5.029142,5.081451,2.604845,3803969
2003-02-05,5.193542,5.365414,5.133760,5.320578,2.727426,8189787
2003-02-06,5.044087,5.163651,5.006724,5.073978,2.601014,6627304
2003-02-07,5.073978,5.118814,4.946942,4.991778,2.558877,4853252
2003-02-10,4.931996,4.969360,4.775069,4.834851,2.478432,5088775
2003-02-11,4.834851,4.902105,4.812433,4.834851,2.478432,8853267
2003-02-12,4.842324,4.946942,4.812433,4.864742,2.493755,4328008
2003-02-13,4.819905,4.857269,4.752651,4.782542,2.451619,5423861
2003-02-14,4.834851,5.178596,4.834851,5.118814,2.623997,8277305
2003-02-18,5.156178,5.350469,5.156178,5.283214,2.708272,8318923
2003-02-19,5.260796,5.290687,5.171123,5.215960,2.673796,3594674
2003-02-20,5.455087,5.567178,5.440141,5.537287,2.838515,10634679
2003-02-21,5.529814,5.634432,5.395305,5.582123,2.861498,5122498
2003-02-24,5.604541,5.701687,5.432669,5.432669,2.784885,5506963
2003-02-25,5.230905,5.410251,5.201014,5.380360,2.758071,5296196
2003-02-26,5.357941,5.440141,5.238378,5.275742,2.704441,2519564
2003-02-27,5.283214,5.357941,5.178596,5.223432,2.677627,5437109
2003-02-28,5.253323,5.350469,5.223432,5.298160,2.715934,2967995
2003-03-03,5.440141,5.522341,5.387832,5.432669,2.784885,6173253
2003-03-04,5.305632,5.342996,5.193542,5.215960,2.673796,4899420
2003-03-05,5.193542,5.201014,5.021669,5.059033,2.593353,6532827
2003-03-06,5.059033,5.111342,4.931996,5.111342,2.620167,6312693
2003-03-07,5.051560,5.245851,4.999251,5.201014,2.666135,5760819
2003-03-10,5.156178,5.215960,5.118814,5.126287,2.627829,3669881
2003-03-11,5.156178,5.290687,5.156178,5.238378,2.685289,3405185
